Hour	Fe	CaO	SiO2	MgO	MnO	Al2O3	Tonnes
500	29.99	10.3	4.98	3.86	2.25	0.82	46
501	32.92	7.63	4.16	3.85	2.43	0.93	165
502	32.28	8.71	3.94	3.81	2.43	0.84	209
503	28.03	13.06	4.24	3.89	2.18	1.01	133
504	25.23	15.88	4.42	3.98	1.99	1.1	110
505	31.38	8.72	5.7	3.62	2.32	1.35	320
506	32.51	7.67	4.83	3.98	2.31	1.07	377
507	30.32	7.62	8.3	3.72	2.10	1.84	343
508	32.24	8.92	3.04	4.2	2.40	1.01	83
509	31.35	8.89	4.64	3.98	2.29	1.2	283
510	30.34	10.23	4.52	4.04	2.25	1.07	357
511	29.04	8.93	8.27	3.81	2.18	1.85	208
512	32.97	6.57	6.15	3.65	2.49	1.13	301
513	31.61	8.2	5.83	3.79	2.44	1	403
514	29.18	10.56	5.9	3.98	2.30	1.02	394
515	29.12	9.88	7.39	3.76	2.23	1.49	285
516	30.58	7.61	8.04	3.58	2.23	1.74	285
517	30.58	8.99	6.02	3.77	2.22	1.32	379
518	32.98	6.84	5.11	3.96	2.34	1.12	239
519	32.93	8.74	2.96	4.04	2.41	0.65	193
520	32.43	8.79	3.52	4.08	2.40	0.76	150
521	32.85	7.1	5.47	3.92	2.36	1.37	283
522	30.95	8.66	5.71	4.06	2.27	1.11	264
523	30.66	9.48	4.99	4.04	2.29	1.19	280
524	30.42	9.82	4.67	4.12	2.27	1.22	241
525	30.92	8.65	5.71	4.05	2.26	1.11	329
526	34.23	5.87	4.9	3.87	2.40	1.03	198
527	31.6	9.03	4.14	4.19	2.30	0.77	44
528	32.21	7.8	4.95	4.08	2.31	0.95	249
529	30.88	8.65	5.95	3.9	2.21	1.19	434
530	35.31	3.71	6.42	3.36	2.67	1.74	253
531	36.66	2.67	6.13	3.1	2.78	1.59	172
532	38.59	1.83	4.69	3.17	2.89	1.29	60
533	35.75	4.54	5.29	3.28	2.71	1.47	42
534	36.47	3.75	5.05	3.33	2.76	1.29	80
535	30.18	10.77	3.89	4.09	2.27	0.97	282
536	32.13	8.62	3.43	4.25	2.52	0.76	66
537	27.67	12.41	6.06	3.73	2.21	1.24	203
538	31.01	9.57	4.38	4.14	2.44	0.75	307
539	30.07	9.38	5.96	3.86	2.32	1.08	139
540	31.45	8.78	5.23	3.78	2.45	0.83	191
541	31.32	7.82	6.29	3.94	2.41	1.2	378
542	29.45	9.95	6.13	4.02	2.27	1.13	305
543	29.36	10.45	6.64	3.84	2.30	1.05	195
544	30.23	10.06	5.63	3.76	2.32	0.93	188
545	29.71	10.49	6.12	3.76	2.35	0.96	309
546	29.31	10.39	6.63	3.83	2.30	1.06	349
547	33.29	6.43	6.24	3.65	2.56	1.14	244
548	32.86	7.19	5.87	3.7	2.50	0.91	282
549	29.51	9.98	6.14	4.04	2.30	1.13	331
550	31.3	7.46	7.11	3.68	2.41	1.71	377
551	32.89	6.52	5.86	3.95	2.49	1.24	283
552	33.96	5.24	5.56	4	2.58	1.49	227
553	32.43	4.96	8.29	3.79	2.39	2.28	181
554	32.93	7.1	5.36	3.74	2.50	0.97	298
555	32.84	7.71	5.14	3.54	2.53	0.81	284
556	34	6.73	3.95	3.84	2.40	0.89	102
557	34.06	6.51	4.68	3.62	2.43	0.95	199
558	33.22	7.06	5.48	3.3	2.43	0.95	331
559	36.1	3.64	5.37	3.31	2.74	1.49	161
560	36.49	3.12	5.54	3.33	2.74	1.32	223
561	36.94	3	5.04	3.29	2.76	1.2	230
562	37.06	3.36	4.61	3.34	2.81	1.15	205
563	35.9	4.55	4.77	3.3	2.74	1.01	194
564	36.63	3.99	3.87	3.58	2.74	0.97	145
565	37.77	3.58	3.04	3.53	2.81	0.71	92
566	37.27	3.64	3.57	3.57	2.70	0.75	146
567	35.27	3.62	6.81	3.29	2.60	1.84	177
568	35.26	4.34	5.83	3.55	2.54	1.4	212
569	35.41	5.59	4.31	3.41	2.70	0.82	279
570	35.35	6.21	3.77	3.34	2.70	0.75	255
571	35.41	5.83	4.04	3.34	2.70	0.75	177
572	34	6.89	4.1	3.87	2.52	0.71	161
573	35.15	5.44	4.75	3.4	2.63	0.87	258
574	33.3	7.03	5.87	3.43	2.54	0.9	334
575	33.97	6.89	4.56	3.51	2.54	0.78	112
576	33.61	7.11	5.19	3.24	2.48	0.79	236
577	31.6	7.72	6.63	3.55	2.41	1.08	204
578	35.06	5.87	4.44	3.61	2.65	0.78	238
579	36.79	4.11	4.29	3.41	2.66	0.9	179
580	33.94	5.79	6.11	3.39	2.49	1.54	418
581	35.04	5.81	4.41	3.6	2.63	0.78	361
582	34.07	5.19	6.72	3.38	2.45	1.66	340
583	33.94	5.79	6.09	3.36	2.49	1.54	233
584	35.16	4.81	5.72	3.39	2.48	1.31	465
585	34.37	6.02	4.41	3.67	2.48	0.89	283
586	31.92	8.87	4.11	4.09	2.43	0.93	198
587	34.4	5.83	4.62	3.62	2.61	1.11	133
588	32.09	5.99	7.76	3.54	2.39	1.55	266
589	31.9	7.32	6.32	3.8	2.38	1.36	226
590	34.07	4.89	6.52	3.44	2.53	1.69	160
591	32.93	7.63	5.02	3.66	2.61	0.72	276
592	32.15	8.42	5.03	3.69	2.48	0.78	290
593	33.05	8.25	4.35	3.51	2.58	0.74	199
594	31.62	9.23	4.66	3.83	2.49	0.78	271
595	33.47	7.94	4.06	3.62	2.58	0.83	213
596	32.22	8.54	4.89	3.77	2.52	0.92	312
597	34.16	6.97	4.39	3.5	2.70	0.7	291
598	33.16	8.42	3.27	3.87	2.60	0.66	207
599	32.45	8.88	3.6	3.98	2.58	0.62	245
600	33.67	7.64	3.89	3.78	2.65	0.59	281
601	30.7	9.23	5.66	3.94	2.44	0.75	258
602	30.72	9.61	4.17	4.57	2.48	0.66	238
603	32.67	8.14	4.12	4.03	2.58	0.78	211
604	32.78	7.74	4.74	3.77	2.56	0.83	250
605	32.6	8.24	4.59	3.87	2.57	0.74	294
606	32.49	9.06	2.85	4.16	2.48	0.6	141
607	30.08	8.66	7.62	3.63	2.48	1.57	237
608	31.85	7.79	6.4	3.52	2.52	1.36	134
609	31.98	9.36	2.94	4.25	2.44	0.68	97
610	32.95	7.28	5.03	3.85	2.53	1.07	256
611	33.59	7.02	5.09	3.64	2.60	0.73	227
612	33.34	8.45	3.98	3.42	2.60	0.64	180
613	34.78	6.41	4.14	3.62	2.69	0.59	318
614	32.96	7.79	5.74	3.21	2.56	0.74	338
615	34.31	5.9	5.76	3.38	2.63	0.71	319
616	33.7	6.81	5.28	3.4	2.54	0.71	262
617	31.27	9.77	3.38	4.44	2.45	0.66	274
618	32.85	7.65	5.11	3.71	2.60	0.84	353
619	33.98	7.45	3.56	3.8	2.66	0.65	301
620	32.03	8.8	3.66	4.27	2.53	0.72	191
621	32.09	8.42	4.3	4.12	2.54	0.79	249
622	34.48	6.5	4.21	3.51	2.63	0.64	270
623	34.23	7.15	4	3.51	2.63	0.67	276
624	33.96	7.46	3.25	3.87	2.60	0.55	126
625	31.71	10.28	1.53	4.78	2.48	0.49	90
626	33.97	7.52	3.51	3.79	2.67	0.56	240
627	32.72	9.07	3.23	3.8	2.52	0.52	347
628	31.52	8.57	5.59	3.64	2.44	1.2	287
629	32.02	6.77	7.51	3.59	2.50	1.53	286
630	34.73	5.33	5.39	3.7	2.72	0.88	238
631	33.19	6.08	6.55	3.69	2.63	1.32	232
632	31.91	5.97	9.18	3.34	2.63	1.83	328
633	34.14	4.5	7.33	3.56	2.70	1.56	410
634	33.66	5.37	7.27	3.22	2.70	1.73	317
635	34.59	4.56	6.72	3.34	2.72	1.56	326
636	33.01	6.57	7.29	3.16	2.49	1.15	234
637	36.3	4.64	4.59	3.42	2.61	0.78	374
638	34.42	5.93	5.73	3.28	2.54	0.9	243
639	33.08	7.81	5.46	3.23	2.48	0.82	223
640	33.13	7.28	5.56	3.45	2.44	0.82	272
641	33.63	7.07	5.22	3.44	2.57	0.77	299
642	34.02	6.65	4.9	3.57	2.54	0.82	266
643	33.12	7.59	4.54	3.81	2.52	0.75	185
644	33.21	6.7	5.94	3.55	2.54	0.85	267
645	32.72	8.26	4.59	3.68	2.49	0.68	303
646	33.35	6.11	5.88	3.75	2.61	1.18	345
647	31.7	7.51	6.43	3.86	2.49	1.32	270
648	34.71	7.11	2.52	4.03	2.67	0.58	88
649	34	5.7	5.89	3.6	2.65	1.15	305
650	33.15	6.7	5.37	3.9	2.60	1.01	377
651	32.56	8.73	4.01	3.77	2.49	0.79	200
652	34.08	6.51	4.48	3.62	2.67	1	225
653	33.85	4.67	7.63	3.32	2.58	1.95	353
654	33.89	5.78	6.42	3.33	2.58	1.51	384
655	36.38	4.27	4.65	3.55	2.78	0.98	238
656	32.19	7.61	6.3	3.61	2.52	1.41	364
657	34.88	4.83	6.17	3.52	2.70	1.29	383
658	34.01	4.96	6.93	3.42	2.63	1.51	243
659	32.28	6.35	8.06	3.36	2.45	1.78	195
660	32.41	7.66	5.66	3.6	2.56	0.92	163
661	34.18	6.43	5.45	3.27	2.63	0.83	233
662	32.62	8.09	4.69	3.67	2.57	0.98	292
663	32.46	7.48	6.8	3.2	2.47	0.99	216
664	34.33	6.31	4.88	3.46	2.61	0.87	167
665	32.42	7.53	5.46	3.85	2.52	0.92	313
666	35.35	4.78	5.21	3.46	2.66	1.01	303
667	36.82	3.51	4.68	3.45	2.71	1.17	134
668	34.07	7.21	3.19	3.98	2.58	0.71	122
669	33.29	8.24	3	4.02	2.60	0.68	214
670	30.24	9.79	5.21	3.93	2.41	1.27	200
671	30.35	9.27	5.41	4.22	2.45	1.22	208
672	34.07	5.31	6.5	3.42	2.58	1.58	340
673	30.61	7.79	8.06	3.58	2.35	2.09	302
674	30.76	6.96	8.43	3.67	2.36	2.11	200
675	30.96	7.83	7.07	3.58	2.41	1.76	179
676	33.45	3.89	8.99	3.3	2.50	2.39	349
677	33.49	4.94	7.67	3.29	2.56	1.97	286
678	32.64	5.54	8	3.45	2.54	1.86	127
679	33.04	5.83	6.41	3.92	2.53	1.43	175
680	33.67	4.88	7.38	3.45	2.54	1.88	214
681	31.15	7.98	6.9	3.64	2.38	1.57	270
682	34.7	5.2	5.82	3.44	2.69	1.19	149
683	34.69	6.67	3.83	3.66	2.63	0.7	184
684	34.74	5.11	5.86	3.58	2.60	0.84	256
685	34.23	6.78	4.23	3.63	2.63	0.59	190
686	36.12	4.9	3.56	3.78	2.70	0.58	143
687	35.78	4.58	4.84	3.66	2.63	0.72	236
688	32.7	9.62	1.93	4.2	2.50	0.43	263
689	35.96	4.3	5.19	3.42	2.65	0.59	305
690	34.97	5.34	4.85	3.71	2.54	0.64	129
691	36.17	5.15	3.86	3.71	2.70	0.57	183
692	35.03	5.5	4.7	3.66	2.61	0.68	156
693	33.18	7.66	3.1	4.54	2.70	0.77	290
694	33.76	7.1	3.02	4.45	2.67	0.8	215
695	34.85	6.23	3.37	4.03	2.72	0.73	74
696	35.48	6.38	2.38	4.04	2.79	0.58	243
697	34.05	6.98	2.67	4.38	2.69	0.68	245
698	33.8	6.94	3.95	4.01	2.57	0.53	180
699	36.24	4.64	3.76	3.73	2.67	0.74	228
700	36.48	4.14	4.14	3.62	2.65	0.81	358
701	36.79	3.38	4.64	3.61	2.61	0.95	325
702	35.92	4.15	5.18	3.59	2.57	0.85	284
703	33.47	6.64	4.14	4.12	2.53	0.98	183
704	35.56	3.75	6.04	3.56	2.65	1.16	392
705	32.61	7.39	4.04	4.6	2.61	0.88	104
706	36.29	4	4.79	3.64	2.71	0.87	204
707	31.86	8.03	4.41	4.73	2.54	0.85	294
708	35.55	4.89	4.08	3.99	2.75	0.72	359
709	34.61	5.66	4.43	3.94	2.65	0.73	193
710	36.08	4.94	3.99	3.54	2.81	0.76	206
711	37.05	3.19	5.27	3.31	2.80	0.67	174
712	34.89	5.47	4.75	3.74	2.65	0.75	233
713	35.21	5.66	4.04	3.81	2.74	0.65	316
714	32.72	8.58	2.47	4.56	2.69	0.69	442
715	28.45	12.22	2.56	5.42	2.30	0.75	303
716	33.52	7.44	2.82	4.59	2.58	0.86	318
717	31.68	7.29	5.66	4.3	2.38	1.83	211
718	31.93	9.14	2.49	4.68	2.47	0.93	324
719	36.81	5.05	2.25	3.82	2.87	0.56	168
720	38.39	3.92	1.59	3.7	3.01	0.55	123
721	35.87	5.98	2.24	3.8	2.88	0.58	162
722	33.46	6.84	4.02	3.99	2.63	1.2	226
723	35.07	6.61	2.88	3.74	2.78	0.72	184
724	35.84	5.97	2.44	3.71	2.87	0.63	281
725	33.78	6.47	3.86	4.12	2.62	0.96	261
726	33.32	7.07	4	4.4	2.62	0.86	222
727	32.68	8.58	2.94	4.33	2.57	0.62	197
728	31.28	9.85	2.48	4.87	2.52	0.72	302
729	27.94	12.47	2.3	5.85	2.39	0.65	383
730	30.09	10.53	2.23	5.41	2.54	0.63	439
731	30.32	10.22	3.27	4.82	2.54	0.78	312
732	31.39	8.89	3.71	4.5	2.58	1.05	250
733	29.68	11.06	2.46	5.27	2.44	0.79	238
734	31.75	8.76	3.06	4.71	2.48	1.22	297
735	31.64	9.64	2.63	4.61	2.41	0.84	226
736	26.81	12.49	4.41	5.37	2.20	1.22	205
737	28	12.62	2.71	5.47	2.22	0.81	255
738	33.88	5	7.24	3.6	2.63	1.44	419
739	35.29	3.94	6.94	3.21	2.72	1.33	348
740	34.93	4.1	6.92	3.32	2.67	1.42	436
741	34.4	4.5	7	3.29	2.62	1.31	385
742	33.63	7.6	2.14	4.58	2.50	0.8	160
743	33.01	7.74	3.02	4.47	2.57	0.87	231
744	31.89	9.01	2.72	4.57	2.31	0.83	298
745	32.46	8.14	3.01	4.56	2.45	0.99	331
746	33.95	7.31	2.31	4.44	2.47	0.74	270
747	32.62	7.67	4.29	4.31	2.49	0.98	212
748	34.85	6.29	2.56	4.28	2.53	0.86	251
749	34.24	6.79	2.7	4.3	2.53	0.98	307
750	34.74	6.99	2.03	4.28	2.53	0.58	195
751	33.2	8.21	2.36	4.35	2.38	0.75	177
752	33.03	8.51	2.14	4.49	2.41	0.71	279
753	32.02	9.03	3.23	4.27	2.32	0.97	271
754	32.41	8.36	3.09	4.49	2.47	0.92	247
755	34.08	5.66	5.18	3.82	2.57	1.17	333
756	35.21	5.73	2.98	4.06	2.84	0.75	336
757	35.83	4.35	5.11	3.32	2.79	1.11	365
758	36.49	4.11	4.53	3.36	2.80	1.08	229
759	37.02	3.04	5.34	3.26	2.87	1.17	267
760	34.89	5.02	5.85	3.42	2.72	1.2	384
761	35.64	3.82	5.79	3.48	2.74	1.36	341
762	34.41	6.77	2.46	4.56	2.50	0.7	268
763	32.22	7.71	3.62	4.64	2.40	1.2	361
764	34.03	6.94	2.93	4.24	2.56	0.98	254
765	32.43	7.76	3.47	4.54	2.49	1.32	241
766	34.38	6.53	3.77	3.92	2.61	1.05	168
767	26.91	13.07	4.41	4.56	2.05	1.55	316
768	27.95	12.92	3.13	5.01	2.21	0.89	400
769	29.57	10.58	3.49	4.85	2.31	1.15	260
770	34.06	5.48	5.1	3.83	2.60	1.19	228
771	35.24	4.38	5.38	3.39	2.67	1.37	360
772	31.12	9.03	5.11	3.89	2.45	1.33	333
773	29.09	10.49	4.83	4.44	2.31	1.29	354
774	28.06	13.23	2.19	5.24	2.17	0.36	298
775	29.32	12.29	1.8	5.12	2.25	0.35	209
776	28.24	11.91	4.69	4.78	2.18	0.81	222
777	30.36	11.34	2.02	4.87	2.35	0.47	256
778	33.1	6.03	6.37	3.84	2.57	1.49	268
779	31.26	8.59	5.45	4.1	2.48	1.16	270
780	33.2	6.08	5.81	3.94	2.57	1.24	338
781	34.68	4.54	6.51	3.53	2.71	1.33	171
782	31.93	9.6	1.92	4.84	2.40	0.47	194
783	29.25	12.36	2.47	4.69	2.22	0.42	295
784	34.24	5.49	5.07	3.9	2.61	0.87	342
785	34.83	4.63	5.77	3.63	2.63	1.07	294
786	30.72	10	3.2	4.79	2.22	0.62	117
787	33.76	6.22	4.65	3.99	2.62	0.79	257
788	34.09	6.19	4.73	3.91	2.60	0.76	280
789	27.81	13.22	2.53	5.25	2.17	0.51	215
790	32.84	7.87	2.96	4.5	2.52	0.81	147
791	29.61	11.19	2.72	4.98	2.30	0.62	181
792	30.82	10.01	2.94	4.67	2.32	0.75	226
793	29.99	10.73	3.24	4.61	2.27	0.74	221
794	30.04	10.25	3.55	4.78	2.23	0.84	178
795	30.83	10.02	3.13	4.52	2.27	0.84	295
796	29.24	11.08	3.51	4.94	2.20	0.8	271
797	30.99	9.24	3.78	4.57	2.29	0.93	170
798	35.91	3.93	5.36	3.49	2.63	1.15	214
799	36.36	3.17	5.88	3.47	2.67	0.89	334
800	34.82	5.08	5.24	3.72	2.63	0.85	289
801	35.41	4.65	4.98	3.71	2.69	1.07	189
802	34.5	5.63	4.92	3.81	2.61	0.86	223
803	35.4	4.03	5.81	3.55	2.70	1.21	264
804	36.11	4.27	4.64	3.57	2.75	0.79	318
805	35.78	4.49	5.33	3.51	2.74	0.77	187
806	36.84	3.49	4.67	3.44	2.83	0.92	295
807	35.57	4.17	5.14	3.6	2.69	1.05	378
808	34.24	5.71	4.67	3.9	2.69	1	154
809	34.31	5.7	4.76	3.74	2.67	0.96	256
810	33.82	5.93	4.99	3.63	2.57	1.38	98
811	32.27	7.28	5.76	3.57	2.52	1.42	159
812	34.26	5.41	5.78	3.39	2.69	1.2	361
813	34.28	5.68	5.13	3.7	2.61	1.05	202
814	35.36	4.91	5.12	3.39	2.75	1.03	272
815	33.13	7.15	4.63	4.18	2.57	0.79	340
816	34.02	6.28	4.32	3.97	2.65	0.91	303
817	31.38	9.07	3.94	4.36	2.56	0.75	208
818	34.16	5.53	5.34	3.8	2.66	0.85	233
819	31.8	8.04	4.93	4.12	2.54	0.9	298
820	36.41	3.61	5.28	3.48	2.78	0.8	467
821	35.22	4.6	5.39	3.59	2.70	0.93	290
822	35.32	3.39	7.33	3.33	2.69	1.03	280
823	35.76	4.56	4.62	3.69	2.80	0.91	292
824	34.26	5.49	5.48	3.67	2.75	0.98	292
825	33.98	6.8	4.25	3.75	2.67	0.84	322
826	35.24	5.33	4.03	3.86	2.72	0.75	322
827	33.14	6.81	4.87	3.93	2.62	0.95	390
828	34.05	6.65	4.47	3.71	2.66	0.83	338
829	34.02	6.32	5.3	3.58	2.71	0.88	260
830	34.54	5.8	4.82	3.67	2.71	0.71	312
831	34.59	5.77	4.7	3.56	2.72	0.95	401
832	28.39	12.65	2.91	4.75	2.12	0.7	340
833	33.37	5.64	6.79	3.66	2.70	1.38	327
834	32.55	9.44	2.28	4.06	2.60	0.65	61
835	32.49	6.59	5.2	4.63	2.56	1.03	370
836	35.3	3.99	6.39	3.49	2.76	1.24	406
837	35.41	4.91	4.54	3.61	2.79	1.04	267
838	34.95	5.07	4.81	3.54	2.71	1.28	127
839	35.19	5.16	4.54	3.57	2.71	1.2	272
840	33.93	6.41	3.91	3.95	2.76	0.99	196
841	34.97	5.33	4.43	3.57	2.66	1.15	179
842	28.65	11.89	3.88	4.75	2.36	0.9	168
843	33.28	7.71	3.68	3.88	2.60	0.87	223
844	28.87	12.12	4.12	4.28	2.27	0.94	197
845	31.03	9.32	4.36	4.22	2.50	0.89	161
846	27.12	12.82	4.16	5.29	2.18	0.63	255
847	24.75	15.47	2.72	6.12	2.14	0.61	393
848	25.7	14.81	2.56	5.95	2.18	0.61	336
849	25.3	15.07	2.47	6.17	2.18	0.57	161
850	24.75	15.11	2.22	6.71	2.21	0.57	289
851	26.33	14.34	2.11	6.01	2.23	0.58	327
852	26.13	13.78	2.31	6.51	2.21	0.53	291
853	25.71	14.92	1.69	6.28	2.23	0.47	213
854	30.79	10.46	2.93	4.47	2.34	0.6	204
855	29.1	12.4	2.45	4.6	2.17	0.65	383
856	35.34	4.82	4.79	3.69	2.79	1.01	196
857	33.93	6.78	3.75	3.91	2.74	0.91	212
858	34.64	5.28	4.97	3.77	2.78	1.02	314
859	32.64	7.73	3.94	4.1	2.61	0.85	175
860	30.98	8.63	4.22	4.77	2.50	1.03	372
861	34.12	5.22	6.12	3.55	2.69	1.37	206
862	34.42	4.94	6.14	3.52	2.76	1.24	202
863	33.98	5.99	4.86	3.73	2.75	1.15	198
864	32.79	6.74	6.16	3.65	2.61	1.11	288
865	35.08	5.41	4.49	3.7	2.79	0.91	233
866	35.39	5.74	3.95	3.59	2.84	0.91	117
867	22.58	16.03	1.73	8.04	1.82	0.55	286
868	25.46	13.95	2.44	6.46	1.99	0.78	216
869	33.27	6.72	4.9	3.71	2.61	1.15	207
870	32.63	4.55	8.89	3.3	2.53	2.03	283
871	32.94	8.44	1.92	4.49	2.50	0.68	475
872	31.56	9.02	2.77	4.88	2.40	0.87	280
873	31.51	9.81	2.18	4.6	2.32	0.74	259
874	28.14	11.93	1.67	6.35	2.16	0.53	145
875	26.58	13.18	1.89	6.56	2.09	0.63	213
876	31.11	8.77	4.87	4.08	2.44	0.89	365
877	29.77	9.39	6.12	4.15	2.32	1.31	375
878	31.23	9.6	3.56	4.29	2.47	0.71	304
879	30.09	10.22	4.14	4.19	2.39	0.95	392
880	32.31	6.5	7.33	3.37	2.52	1.77	241
881	34.03	5.28	6.72	3.32	2.65	1.22	455
882	34.12	4.92	6.42	3.44	2.58	1.27	221
883	33.5	4.55	7.49	3.41	2.53	1.44	199
884	31.32	7.85	6.55	3.76	2.39	0.94	457
885	31.47	7.82	6.03	3.63	2.38	1.07	280
886	31.85	7.78	5.62	3.75	2.43	1.05	147
887	33.21	7.14	4.3	3.89	2.57	0.99	311
888	34.42	6	4.19	3.83	2.63	0.78	451
889	34.54	6.27	3.96	3.79	2.56	0.64	432
890	34.28	6.5	3.75	3.97	2.61	0.72	384
891	35.13	6.11	3.19	3.79	2.65	0.57	291
892	33.33	7.35	3.82	4.01	2.60	0.76	360
893	34.79	6.41	3.43	3.95	2.65	0.61	386
894	35.1	6.08	3.49	3.78	2.70	0.67	248
895	32.02	7.72	5.04	3.91	2.53	1.3	296
896	32.49	6.31	6.51	3.74	2.53	1.67	335
897	33.31	6.01	6.44	3.4	2.65	1.43	331
898	30.16	9.21	6.74	3.41	2.43	1.57	270
899	33.24	6.76	5.21	3.7	2.56	1.08	314
900	33.49	6.5	5.32	3.84	2.57	0.9	339
901	31.51	6.96	7.12	3.61	2.45	1.93	263
902	31.75	8.01	5.41	3.71	2.52	1.21	301
903	30.79	8.18	6.67	3.94	2.40	1.41	342
904	26.64	13.11	6.73	3.58	2.20	1.55	266
905	30.96	8.37	6.56	3.75	2.49	1.28	162
906	30.06	9	6.25	3.82	2.47	1.64	353
907	31.01	7.85	7.03	3.52	2.41	1.74	294
908	31.32	6.67	6.94	3.59	2.43	1.87	217
909	34	5.64	5.19	3.69	2.54	1.24	221
910	33.33	5.27	6.81	3.6	2.52	1.54	226
911	35.29	4.88	4.79	3.65	2.70	0.99	373
912	34.83	5.52	4.27	3.82	2.67	0.81	388
913	34.18	6.24	4.23	3.84	2.67	0.95	344
914	34.09	6.34	4.14	3.78	2.69	0.95	353
915	34.45	6.24	4.13	3.76	2.71	0.84	435
916	34.05	6.09	4.81	3.82	2.63	0.93	403
917	33.84	6.05	5.03	3.9	2.62	1.02	215
918	34.36	5.28	5.67	3.47	2.67	1.06	267
919	34.43	5.08	6.02	3.39	2.74	1.22	403
920	32.83	7.33	4.28	4.08	2.58	0.95	422
921	33.54	5.95	5.68	3.94	2.62	1.12	367
922	33.31	6.25	5.21	4.02	2.39	1.12	107
923	32.21	7.9	4.68	4.21	2.53	0.72	216
924	33.22	7.03	4.27	4.11	2.54	0.79	210
925	33.87	6.31	4.49	3.94	2.61	0.87	298
926	33.09	7.22	3.94	4.41	2.60	0.72	336
927	33.97	6.15	4.72	3.82	2.69	0.99	194
928	34.41	6.17	4.38	3.76	2.67	0.84	224
929	32.23	7.6	4.95	4.21	2.57	0.88	329
930	32.93	7.36	4.07	4.2	2.67	0.73	251
931	30.8	8.53	4.69	4.78	2.50	0.95	248
932	31.02	7.82	6.33	3.93	2.50	1.34	317
933	33.41	5.72	6.45	3.52	2.66	1.19	372
934	33.75	5.89	5.63	3.57	2.67	1.12	264
935	34.14	5.48	5.64	3.52	2.67	1.15	296
936	33.79	5.59	5.84	3.59	2.67	1.23	250
937	34.31	5.59	5.07	3.62	2.70	1.13	434
938	33.61	6.63	4.76	3.7	2.63	1.05	380
939	31.64	8.07	5.28	3.9	2.50	1.19	242
940	34.11	6.46	3.86	4.13	2.65	0.75	343
941	32.16	7.29	5.33	3.96	2.54	1.15	420
942	36.18	3.73	4.92	3.61	2.47	1.1	58
943	30.54	11.15	2.11	4.68	2.35	0.48	318
944	31.69	10.11	2.12	4.71	2.40	0.47	264
945	35.31	6.34	2.81	3.73	2.69	0.64	99
946	31.95	10.09	1.99	4.38	2.43	0.44	212
947	29.2	12.28	2.2	4.72	2.26	0.62	329
948	32.67	8.2	3.5	4.09	2.44	0.75	77
949	33.49	6.31	4.95	3.89	2.53	1.1	178
950	30.43	10.98	2.55	4.66	2.31	0.62	419
951	30.76	10.68	2.31	4.45	2.38	0.52	334
952	27.88	13.02	2.44	5.41	2.18	0.56	210
953	31.44	9.83	2.82	4.43	2.38	0.62	180
954	30.63	11.24	1.86	4.7	2.30	0.45	324
955	32.39	7.71	5.45	3.54	2.56	1.18	313
956	31.97	9.45	3.49	3.89	2.48	0.84	188
957	34.61	5.93	4.38	3.55	2.71	0.89	242
958	33.62	6.37	5.14	3.54	2.62	1.02	337
959	29.55	11.91	1.71	5.17	2.29	0.43	200
960	31.42	9.29	3.46	4.24	2.43	0.68	339
961	30.04	9.22	5.45	4.18	2.35	1.07	369
962	29.08	9.83	5.27	4.78	2.35	1.19	335
963	32.62	6.87	5.24	3.87	2.61	1.06	153
964	33.89	6.34	4.71	3.84	2.69	1.01	297
965	32.98	7.63	3.96	3.91	2.57	0.95	294
966	33.76	6.35	5.19	3.79	2.62	1.01	354
967	33.65	6.74	4.35	3.98	2.60	0.86	127
968	31.19	6.96	7.51	3.69	2.44	1.76	163
969	33.02	7.01	5.08	3.87	2.57	1.04	276
970	32.2	7.85	5.49	3.68	2.57	1.06	340
971	31.59	8.58	5.36	3.82	2.50	0.98	207
972	32.59	8.9	3.23	3.74	2.44	0.99	269
973	29	12.42	3.2	4.15	2.27	0.99	364
974	30.12	10.82	4.04	3.88	2.41	0.9	309
975	31.13	8.46	5.69	3.98	2.48	1.37	172
976	31.68	8.5	4.72	4.07	2.49	1.18	225
977	33.27	7.59	4.49	3.64	2.61	1	288
978	36.47	3.78	4.9	3.39	2.80	0.91	447
979	35.83	3.91	5.58	3.29	2.74	1.06	345
980	34.66	5.9	4.42	3.5	2.71	1.05	78
981	34.92	5.04	5.07	3.49	2.69	1.15	236
982	35.48	4.94	4.53	3.45	2.72	1.09	416
983	32.33	7.77	5	3.75	2.53	0.96	201
984	29.97	9.44	5.27	4.12	2.44	1.15	259
985	29.96	10.15	5.37	3.6	2.41	1.25	427
986	29.64	11.15	4.45	3.8	2.36	1.01	295
987	28.75	12.21	4.56	3.94	2.27	0.96	201
988	27.38	14.52	3.97	3.65	2.26	0.95	291
989	31.38	8.34	5.51	3.75	2.41	1.28	385
990	32.26	7.66	5.57	3.63	2.43	1.3	320
991	31.46	9.01	4.86	3.86	2.44	1.09	282
992	33.51	6.63	5.34	3.53	2.57	1.18	320
993	32.62	7.53	5.44	3.6	2.49	1.22	340
994	33.4	6.42	5.34	3.81	2.52	1.23	347
995	33.64	6.35	5.24	3.71	2.57	1.1	245
996	34.41	5.88	5.17	3.6	2.62	0.94	269
997	32.8	7.04	5.49	3.7	2.48	1.18	406
998	32.94	6.75	5.91	3.55	2.56	1.24	398
999	34.53	5.7	4.81	3.54	2.70	1.02	124
